ville,avg_actual,avg_pred,avg_gap,avg_gap_pct,count
Matar,491.6666666666667,562.8931381403773,-71.22647147371076,-52.5510677273546,6
Hammam Lif,303766.6666666667,248865.73486724906,54900.931799417565,3.9099259801342874,6
La Soukra Sidi Salah,1400.0,1299.0094540908217,100.99054590917827,4.401590012372043,6
Korba,352100.0,289413.1038659537,62686.89613404629,17.18399408904601,6
Montplaisir,2050.0,1284.1257717877118,765.8742282122881,19.449478801773388,6
Ariana Supérieur,933.3333333333334,1044.1364053689579,-110.80307203562461,-16.86045292240167,6
Behi Ladgham,1288.3333333333333,566.4872121904585,721.846121142875,10.780259326305696,6
sahloul-4,215025.0,225631.49081553434,-10606.490815534364,-2.6461782309527417,6
Borj Cedria,551.6666666666666,568.0961195269182,-16.429452860251587,-9.236308221308361,6
cite-el-agba,171233.33333333334,148433.3396474678,22799.99368586553,-20.679231578176196,6
Ariana Essoghra,661.6666666666666,860.4861963159977,-198.81952964933097,-43.16292125522887,6
manar-1,177410.0,167759.84443617932,9650.155563820663,-8.112310587483162,5
borj-cedria,298000.0,389552.3742585977,-91552.37425859769,-27.842004692794838,5
Carthage Dermech,2010.0,1978.4474575103272,31.55254248967294,-3.1083180232421355,5
hergla,201827.2,176154.45870817086,25672.741291829174,-6.369798265516517,5
cite-riadh,190200.0,200895.961545882,-10695.961545881984,-19.319310848074345,5
El Ain,700.0,669.0189960574293,30.98100394257069,-16.968588844540662,5
baghdedi,266090.0,274408.5185053139,-8318.518505313908,-26.818040948827154,5
aouina,464610.0,384520.00716947997,80089.99283052002,5.4469891191593245,5
ain-zaghouane,135040.0,158652.37212092362,-23612.37212092362,-10.792838134116462,5
Menzel Jemil,119440.0,128056.58240638468,-8616.582406384685,-22.164143922923394,5
El Ouerdia,396460.0,389421.67367235327,7038.326327646743,-3.6378476746121464,5
El Omrane,584304.0,472930.6838126044,111373.31618739567,28.954073591995915,5
Sousse Riadh,157072.0,187599.52780200806,-30527.527802008066,-38.572724031927166,5
Lido,1080.0,1002.8882421013388,77.11175789866127,9.273672048533985,5
Loulija,1030.0,602.8675254947136,427.1324745052863,41.007307472514015,5
Gammarth Foret,4840.0,4473.512274809481,366.48772519051954,6.954101754241019,5
Masque du Arko,1316.0,1779.0729785509052,-463.0729785509052,-124.43897230280902,5
sahline,210150.0,237092.2128766472,-26942.212876647187,-13.725833282193843,5
Kalaa Essghira,243176.0,235416.2818578841,7759.718142115884,-43.90508170777865,5
Kerkouane,790.0,606.6819853000234,183.31801469997671,-33.985510152421675,5
Bab Souika,704.0,734.565910422901,-30.565910422901037,-18.586704277993825,5
Jarzouna,387.5,481.5727294398376,-94.07272943983756,-70.40582802154057,4
soukra,531250.0,537354.2347613976,-6104.234761397587,-11.775945104606398,4
megrine,795000.0,658574.6629434823,136425.33705651766,12.197641133838975,4
Sakiet Ezzit,256583.5,257608.1391941024,-1024.6391941024121,-33.61214170892278,4
mutuelleville,809100.0,431161.1857623458,377938.8142376542,33.938689729101014,4
Beni Khiar,215000.0,351801.6259104746,-136801.62591047463,-54.19285884195155,4
mahdia-centre-ville,205900.0,150166.88070891463,55733.11929108538,13.260164687874997,4
Ibn Sina,487.5,521.5980222375391,-34.0980222375391,-6.921012809189251,4
Grombalia,73172.5,56005.32529944817,17167.17470055183,-19.789697752018917,4
Menzel Abderrahmane,430.0,582.6301243656835,-152.6301243656835,-37.546804521740924,4
cite-hached--jawhara,294125.0,286945.27938875015,7179.720611249879,-4.903412395408374,4
Mora Jasmin,742.5,1152.1398941146263,-409.63989411462614,-54.09641593199943,4
Tabarka,160045.0,140584.5192617484,19460.48073825159,-53.2503134182421,4
bekalta,184587.5,208825.66023607785,-24238.160236077838,-38.756644288224805,4
Hergla,141112.5,153615.77974829948,-12503.279748299488,-16.808747797793597,4
el-kantaoui,385425.0,235950.7759080683,149474.22409193174,15.372460719162309,4
kelibia,468750.0,346039.67242129176,122710.32757870824,25.165789337071708,4
Ellil,1180.0,779.6044103358792,400.39558966412085,-23.51280360131478,4
Wed El Marj,755.0,519.8936557602067,235.10634423979326,24.17039843674038,4
Ksar Said,537.5,468.72075938745616,68.77924061254386,9.774581648193003,4
Sidi Hassine,231000.0,198300.15350979796,32699.846490202035,-189.16409031185304,4
Midoun Djerba,1675.0,1604.9091480009872,70.0908519990129,-23.02341761967827,4
Boukornine,695.0,815.1769102247398,-120.1769102247398,-22.13657439326759,4
les-berges-du-lac-1,2912.5,2565.3081255300567,347.19187446994334,13.080973012800472,4
ksar-hellal,372737.5,313429.8019778252,59307.6980221748,15.995321733212663,4
Charguia,807.5,942.135201194253,-134.63520119425291,-39.92574558965964,4
Marsa Saada,1737.5,1807.2647996867195,-69.76479968671919,-9.207155942119861,4
وسط المدينة,113.33333333333333,293.61579376730316,-180.28246043396982,-157.47729305057402,3
Diar Ben Salem - Beni Khiar,546.6666666666666,581.0707500048899,-34.4040833382233,-58.196266213175896,3
cite-el-ghazala,600000.0,519740.35216262675,80259.64783737324,17.244357351114427,3
ennasr-2,190783.33333333334,168655.4397372911,22127.893596042224,15.328241046413693,3
chebba,201600.0,146595.11400679103,55004.88599320897,8.67995597230688,3
gammarth,3433.3333333333335,1672.563036420722,1760.770296912611,48.853491885790184,3
chotrana,343700.0,327819.7147960679,15880.28520393208,-8.432795812286649,3
ariana-superieur,405000.0,429081.225322864,-24081.22532286398,-16.818607264165035,3
MAHDIA,466.6666666666667,545.7365199353632,-79.06985326869652,-17.86515728800225,3
Dar Chaabane Elfehri,346900.0,213600.067588569,133299.932411431,9.35810784273635,3
Sfax Sud,400000.0,383093.0740743838,16906.925925616142,9.80208334076465,3
Mhamdia,463.3333333333333,458.5434474345852,4.789885898748182,-6.131540229651587,3
El Ghazela,876.6666666666666,1438.5309434798874,-561.8642768132208,-57.08718633812075,3
Morneg,1200.0,591.9154775645499,608.0845224354501,39.94706754306695,3
Nakhla,533.3333333333334,715.7399479896814,-182.40661465634807,-44.871623603172274,3
sahloul-1-2,127333.33333333333,95100.9546678597,32232.378665473632,5.444401098433899,3
Kalaat Landlous,220666.66666666666,88986.16958376493,131680.49708290174,37.11689081171571,3
riadh-landalous,902333.3333333334,622753.2863025429,279580.0470307904,25.87645908875649,3
rejiche,85166.66666666667,99391.64028034906,-14224.973613682392,-36.24175827377892,3
Kheireddine,1033.3333333333333,1148.7891980021689,-115.45586466883542,-13.117605693510347,3
lafayette,50933.333333333336,50177.63788784651,755.6954454868192,16.562789245425,3
Oued Souhil,1733.3333333333333,1282.125068264945,451.2082650683886,14.449796474316514,3
Mohamadia,187773.33333333334,193349.11765715657,-5575.784323823234,-20.39485407430192,3
Manouba,598.3333333333334,421.2705869295831,177.06274640375022,-65.28593070327614,3
Sidi El Bechir,83500.0,197355.1189261607,-113855.11892616072,-107.60230675888023,3
Paris,650.0,1146.5563631234843,-496.55636312348435,-148.32105889890315,3
Rachidia Hrairia,633.3333333333334,306.493836271844,326.83949706148934,43.71910920349944,3
Essaha,673.3333333333334,618.5692676061577,54.764065727175534,6.564443255871239,3
frina,333333.3333333333,253788.01140838698,79545.32192494634,4.923975450985703,3
Ennakhil,983.3333333333334,852.2052922893322,131.12804104400115,-12.397408096938678,3
cite-erraoudha,167133.33333333334,200215.0828006115,-33081.749467278154,-19.699906182923613,3
Hadika,650.0,774.2062423710895,-124.20624237108954,-32.95968998299765,3
Beja Nord,240500.0,148351.30953657802,92148.69046342198,-1.5793296562870935,3
ariana-ville,416666.6666666667,548451.5954911803,-131784.92882451368,-30.68057915432279,3
Zahra Hammem Leghzez,570.0,1472.6953917469757,-902.6953917469756,-597.6485181395345,3
zone-touristique-mahdia,408500.0,318073.73075502587,90426.26924497413,21.694993208212395,2
Irak,1225.0,1131.8144049075527,93.18559509244751,8.348126386531145,2
aouina-2,1275.0,1154.7890686152605,120.21093138473941,7.673694620057892,2
Zouila,825.0,1154.779385500722,-329.77938550072207,-30.281550943030282,2
Lakagna Elouardia,1275.0,989.3104488962023,285.6895511037977,19.281668605546773,2
Ettahrir,670.0,673.4916788508397,-3.4916788508396053,-0.885643250054458,2
El Omran,700.0,817.7123208552932,-117.71232085529311,-15.189945037223248,2
Mornag,269000.0,164030.5099621378,104969.49003786221,-9.427593928615384,2
El Kabbaria,56000.0,95886.42128639066,-39886.421286390665,-12.661811636532008,2
Cité Taieb Mhiri,1250.0,922.6526342331683,327.3473657668318,20.72359113540016,2
Cité Wali Bizerte,450.0,627.8997508460915,-177.89975084609148,-42.35490439014957,2
Cité Zouhour,390.0,437.680689668272,-47.68068966827201,-11.73571062987338,2
cntr,525.0,651.5825283444616,-126.5825283444616,-24.122823278870534,2
Souf,390.0,748.608755972488,-358.60875597248804,-93.48920898553747,2
Cité Manar,875.0,608.8993187687654,266.10068123123466,23.62397920904256,2
hammam-sousse,220000.0,181558.18841273914,38441.81158726085,16.576154681482702,2
jardins-d-ennasr,555000.0,501071.55401886534,53928.44598113465,7.611913600269688,2
Borj Ghorbel Yasminette Ben Arouns,475.0,494.98939272442567,-19.9893927244257,-15.926892259526008,2
bardo,475000.0,456416.82639279356,18583.173607206438,3.92027311918703,2
cite-olympique,209000.0,244413.4023025806,-35413.402302580595,-16.995152963695702,2
jardins-d-el-menzah-2,835000.0,673184.5453840957,161815.45461590416,17.78647597221087,2
gammarth-village,375800.0,346355.0366057876,29444.96339421242,8.582945620097348,2
Benzert,400.0,954.2222662032898,-554.2222662032899,-337.0836440747974,2
Bir El Bey Hammam Chatt,1400.0,602.260585094597,797.7394149054031,44.78260347442389,2
Beni Khalled,102500.0,172977.6681535431,-70477.6681535431,-67.838844933178,2
"situé à Jinèn Beni Khiar, Nabeul",288950.0,220479.87047828405,68470.12952171593,23.824297128007682,2
Beb Mateur,550.0,624.9428617912902,-74.94286179129023,-17.235948644498528,2
Ben Yunis,535.0,905.3844770435375,-370.3844770435376,-68.20589648852513,2
skanes-la-falaise,218100.0,176753.0638648337,41346.93613516631,21.762974122715278,2
Beb El Jezira,725.0,822.6764942220528,-97.67649422205284,-13.96358325853577,2
ben-arous,387200.0,477359.3833074429,-90159.38330744293,-15.886434362864348,2
Zouaidia,600.0,547.0991578673477,52.90084213265232,8.81680702210872,2
Hay Hached,725.0,738.3902936701858,-13.390293670185741,-10.191464587845335,2
Hay Riadh,650.0,888.757834752485,-238.75783475248494,-45.40571328376917,2
Marsa Maalga,2300.0,2297.540753090396,2.459246909604275,2.5001434956087376,2
Douar Hicher,332500.0,242690.11214046925,89809.88785953076,28.420318163665133,2
Montfleury,725.0,587.2013867215571,137.79861327844282,18.850978623133336,2
Sakiet Eddaier,190000.0,233873.49971268978,-43873.49971268977,-65.62111233985124,2
Sidi Mansour,412.5,485.6216396572208,-73.12163965722078,-36.08217625096871,2
Sidi Bouzid,325.0,271.71694224625855,53.28305775374145,15.331932540615027,2
Riadh,900.0,772.2921985651651,127.70780143483495,12.238004798300105,2
Rafraf,300.0,334.3712862104288,-34.37128621042881,-43.03001894536259,2
Rafeha,340.0,542.215813547681,-202.215813547681,-59.04837781336287,2
Oued El Il,335.0,379.55985845925807,-44.559858459258066,-13.20410712031886,2
Utique,1250.0,2281.5544429845077,-1031.5544429845074,-113.78403437711853,2
Ghar El Melh,216050.0,101085.5049538665,114964.49504613348,46.79067768906968,2
Djerba - Houmet Essouk,149650.0,102935.88743024219,46714.11256975783,45.34711760255354,2
