,surface,pieces,etage,has_ascenseur,has_balcon,has_chaffage,has_climatisation,has_gardien,has_jardin,has_parking,has_piscine,has_terrasse,latitude,longitude,price_per_m2,surface_per_piece,etage_x_ascenseur,type,contrat,gouvernerat
2906,107.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,36.8065,10.188232,2537.88748564868,37.75,2.0,285532.6189391474,285532.6189391474,277143.4970760234
1547,124.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8065,10.1815,5241.935483870968,124.0,0.0,285532.6189391474,285532.6189391474,293441.4203821656
209,166.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8002068,10.1857757,1506.0240963855422,55.333333333333336,0.0,285532.6189391474,285532.6189391474,293441.4203821656
3849,107.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8065,10.1815,2537.88748564868,37.75,0.0,285532.6189391474,285532.6189391474,293441.4203821656
2935,117.0,3.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8065,10.1815,1538.4615384615386,39.0,0.0,285532.6189391474,285532.6189391474,293441.4203821656
1584,58.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.4561,10.7376,5517.241379310345,58.0,0.0,285532.6189391474,285532.6189391474,300305.12820512813
2683,107.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8065,10.1815,2537.88748564868,37.75,0.0,285532.6189391474,285532.6189391474,293441.4203821656
2489,107.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8065,10.1815,2537.88748564868,37.75,0.0,285532.6189391474,285532.6189391474,293441.4203821656
596,100.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.873986,11.1082328,2300.0,50.0,0.0,285532.6189391474,285532.6189391474,300305.12820512813
1802,200.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.44200174113639,10.72612191968656,3000.0,50.0,1.0,285532.6189391474,285532.6189391474,300305.12820512813
2107,99.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.557901741137194,11.02492279017205,3131.313131313131,24.75,0.0,285532.6189391474,285532.6189391474,276683.9253054531
296,170.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.7516855,10.2245072,1620.0,85.0,0.0,285532.6189391474,285532.6189391474,218196.17024373435
1600,75.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.4012665,10.5572827,3800.0,75.0,1.0,285532.6189391474,285532.6189391474,300305.12820512813
507,143.0,3.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8749751,10.2454267,2587.4125874125875,47.666666666666664,0.0,285532.6189391474,285532.6189391474,320375.0034842321
7,400.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.4512897,10.7355915,1050.0,200.0,0.0,285532.6189391474,285532.6189391474,300305.12820512813
3746,103.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8065,10.1815,3300.970873786408,34.333333333333336,0.0,285532.6189391474,285532.6189391474,293441.4203821656
3144,175.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8065,10.1815,2285.714285714286,43.75,0.0,285532.6189391474,285532.6189391474,293441.4203821656
2703,60.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8065,10.188232,1616.6666666666667,30.0,0.0,285532.6189391474,285532.6189391474,277143.4970760234
2063,100.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.88330174113597,10.249321470748106,4184.0,50.0,1.0,285532.6189391474,285532.6189391474,293441.4203821656
3309,84.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.4561,10.7376,1726.1904761904761,42.0,0.0,285532.6189391474,285532.6189391474,300305.12820512813
3222,107.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8065,10.188232,2537.88748564868,37.75,3.0,285532.6189391474,285532.6189391474,277143.4970760234
2859,110.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8065,10.188232,2181.818181818182,36.666666666666664,0.0,285532.6189391474,285532.6189391474,277143.4970760234
1513,146.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37.2720905,9.8708565,2328.7671232876714,36.5,0.0,285532.6189391474,285532.6189391474,243467.8477263652
4130,160.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8065,10.1815,3062.5,37.75,0.0,285532.6189391474,285532.6189391474,293441.4203821656
2795,93.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8065,10.1815,4086.021505376344,37.75,0.0,285532.6189391474,285532.6189391474,293441.4203821656
790,100.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.75305,10.2656845,1400.0,33.333333333333336,0.0,285532.6189391474,285532.6189391474,218196.17024373435
3336,40.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8065,10.1815,4000.0,20.0,0.0,285532.6189391474,285532.6189391474,293441.4203821656
3572,113.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8065,10.1815,3805.309734513274,37.75,0.0,285532.6189391474,285532.6189391474,293441.4203821656
2018,136.0,4.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8586,10.2522,2389.705882352941,34.0,0.0,285532.6189391474,285532.6189391474,293441.4203821656
1104,104.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.4561,10.7376,5057.692307692308,104.0,0.0,285532.6189391474,285532.6189391474,300305.12820512813
2745,105.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8065,10.1815,1714.2857142857142,35.0,0.0,285532.6189391474,285532.6189391474,293441.4203821656
96,60.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.4512897,10.7355915,1750.0,30.0,0.0,285532.6189391474,285532.6189391474,300305.12820512813
43,172.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.4512897,10.7355915,1075.5813953488373,57.333333333333336,0.0,285532.6189391474,285532.6189391474,300305.12820512813
1094,50.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8599292,10.1531585,4200.0,50.0,1.0,285532.6189391474,285532.6189391474,320375.0034842321
969,120.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8479251,10.2611996,3458.3333333333335,40.0,0.0,285532.6189391474,285532.6189391474,293441.4203821656
903,69.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8133756,10.2930588,2391.304347826087,34.5,0.0,285532.6189391474,285532.6189391474,293441.4203821656
1363,73.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.7516855,10.2245072,1917.8082191780823,36.5,0.0,285532.6189391474,285532.6189391474,218196.17024373435
25,90.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.7516855,10.2245072,1655.5555555555557,45.0,0.0,285532.6189391474,285532.6189391474,218196.17024373435
2215,120.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.8842,10.5972,2833.3333333333335,40.0,0.0,285532.6189391474,285532.6189391474,281505.570214618
2230,100.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.8681,10.5933,1600.0,50.0,0.0,285532.6189391474,285532.6189391474,281505.570214618
679,120.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8134113,10.1321911,1833.3333333333333,40.0,0.0,285532.6189391474,285532.6189391474,293441.4203821656
2095,100.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.505701741137244,11.077922840389771,1500.0,25.0,0.0,285532.6189391474,285532.6189391474,276683.9253054531
781,156.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8606537,10.2087006,1923.076923076923,78.0,0.0,285532.6189391474,285532.6189391474,320375.0034842321
2914,59.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8065,10.188232,4322.033898305085,29.5,0.0,285532.6189391474,285532.6189391474,277143.4970760234
3854,70.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8065,10.188232,4475.0,37.75,0.0,285532.6189391474,285532.6189391474,277143.4970760234
1322,178.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.7992041,10.1756221,2808.9887640449438,59.333333333333336,0.0,285532.6189391474,285532.6189391474,293441.4203821656
1251,149.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8599292,10.1531585,2550.3355704697988,74.5,0.0,285532.6189391474,285532.6189391474,320375.0034842321
1157,80.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.7992041,10.1756221,2000.0,26.666666666666668,0.0,285532.6189391474,285532.6189391474,293441.4203821656
3050,200.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8065,10.188232,1200.0,50.0,0.0,285532.6189391474,285532.6189391474,277143.4970760234
3043,90.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.4561,10.7376,1722.2222222222222,37.75,0.0,285532.6189391474,285532.6189391474,300305.12820512813
965,108.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8095,10.098,2222.222222222222,27.0,0.0,285532.6189391474,285532.6189391474,240180.81353797184
4012,117.0,3.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8065,10.1815,1538.4615384615386,39.0,0.0,285532.6189391474,285532.6189391474,293441.4203821656
3836,79.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8065,10.1815,1075.9493670886077,26.333333333333332,0.0,285532.6189391474,285532.6189391474,293441.4203821656
67,95.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.7516855,10.2245072,1347.3684210526317,47.5,0.0,285532.6189391474,285532.6189391474,218196.17024373435
2776,148.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.4561,10.7376,1283.7837837837837,37.0,0.0,285532.6189391474,285532.6189391474,300305.12820512813
3900,125.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8065,10.1815,4000.0,37.75,0.0,285532.6189391474,285532.6189391474,293441.4203821656
1928,78.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8106,10.1099,2282.051282051282,26.0,0.0,285532.6189391474,285532.6189391474,293441.4203821656
1538,70.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.4012665,10.5572827,4571.428571428572,35.0,0.0,285532.6189391474,285532.6189391474,300305.12820512813
2363,120.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.8288284,10.6405254,2250.0,30.0,0.0,285532.6189391474,285532.6189391474,281505.570214618
31,120.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8065,10.188232,2916.6666666666665,60.0,0.0,285532.6189391474,285532.6189391474,277143.4970760234
2116,201.0,5.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.778201741137,10.802422576806473,2437.8109452736317,40.2,0.0,285532.6189391474,285532.6189391474,309845.8833033952
1064,135.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.4561,10.7376,4222.222222222223,67.5,0.0,285532.6189391474,285532.6189391474,300305.12820512813
2915,50.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8065,10.1815,2300.0,25.0,2.0,285532.6189391474,285532.6189391474,293441.4203821656
1034,130.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8065,10.1815,3230.769230769231,43.333333333333336,0.0,285532.6189391474,285532.6189391474,293441.4203821656
610,100.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.9003542,11.0982607,2500.0,50.0,0.0,285532.6189391474,285532.6189391474,300305.12820512813
3562,87.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8065,10.1815,2701.1494252873563,37.75,0.0,285532.6189391474,285532.6189391474,293441.4203821656
570,150.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8749751,10.2454267,2633.3333333333335,37.5,0.0,285532.6189391474,285532.6189391474,320375.0034842321
3943,100.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.8245,10.6346,1900.0,33.333333333333336,0.0,285532.6189391474,285532.6189391474,281505.570214618
343,158.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.4512897,10.7355915,3164.5569620253164,52.666666666666664,0.0,285532.6189391474,285532.6189391474,300305.12820512813
1743,64.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8599292,10.1531585,3984.375,64.0,0.0,285532.6189391474,285532.6189391474,320375.0034842321
3051,133.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8065,10.188232,3007.5187969924814,66.5,0.0,285532.6189391474,285532.6189391474,277143.4970760234
678,137.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.8245,10.6346,2773.7226277372265,34.25,5.0,285532.6189391474,285532.6189391474,281505.570214618
4137,107.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8065,10.1815,2537.88748564868,37.75,0.0,285532.6189391474,285532.6189391474,293441.4203821656
3129,120.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8065,10.1815,2083.3333333333335,37.75,0.0,285532.6189391474,285532.6189391474,293441.4203821656
879,117.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.8245,10.6346,2735.042735042735,39.0,0.0,285532.6189391474,285532.6189391474,281505.570214618
3403,125.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8065,10.1815,2800.0,31.25,0.0,285532.6189391474,285532.6189391474,293441.4203821656
2451,80.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8742527,10.2436799,4000.0,40.0,0.0,285532.6189391474,285532.6189391474,293441.4203821656
